epoch,accuracy,loss,val_accuracy,val_loss
0,0.2834468483924866,3.4391045570373535,0.6753472089767456,1.7317930459976196
1,0.632023811340332,1.6006124019622803,0.761904776096344,0.9904170632362366
2,0.6902821660041809,1.193759799003601,0.7857142686843872,0.8068417906761169
3,0.7076137065887451,1.0610798597335815,0.7911706566810608,0.7444618344306946
4,0.7218438386917114,0.969251811504364,0.799355149269104,0.7037266492843628
5,0.7321211099624634,0.9253792762756348,0.800595223903656,0.6870415210723877
6,0.7412430047988892,0.8913061618804932,0.8028273582458496,0.6756570339202881
7,0.7476283311843872,0.8637248277664185,0.8045634627342224,0.6624425053596497
8,0.7528581619262695,0.8400090932846069,0.804315447807312,0.6564841270446777
9,0.7568718194961548,0.8273083567619324,0.8060516119003296,0.6576712131500244
10,0.7583920955657959,0.8094441890716553,0.80629962682724,0.6544144153594971
11,0.7614935636520386,0.7981970310211182,0.8065476417541504,0.6515876054763794
12,0.7649598717689514,0.7873489260673523,0.805059552192688,0.646213710308075
13,0.7680004835128784,0.7759948968887329,0.8067956566810608,0.6460142135620117
14,0.770858645439148,0.764926552772522,0.8055555820465088,0.6467328071594238
15,0.7692167162895203,0.762962818145752,0.8082837462425232,0.6490224599838257
